utt_id,time_to_first_token,prompt_ntokens,inter_token_duration,time_to_last_token
rime-ivr-eval-000,12.0,19.0,7.0,2197.0
rime-ivr-eval-001,13.0,21.0,7.0,2748.0
rime-ivr-eval-002,11.0,10.0,7.0,1114.0
rime-ivr-eval-003,12.0,8.0,7.0,670.0
rime-ivr-eval-004,12.0,20.0,7.0,3344.0
rime-ivr-eval-005,13.0,39.0,7.0,6896.0
rime-ivr-eval-006,11.0,15.0,7.0,1801.0
rime-ivr-eval-007,13.0,28.0,7.0,3991.0
rime-ivr-eval-008,13.0,26.0,7.0,3854.0
rime-ivr-eval-009,12.0,50.0,7.0,6099.0
rime-ivr-eval-010,12.0,39.0,7.0,6135.0
rime-ivr-eval-011,12.0,47.0,7.0,5836.0
rime-ivr-eval-012,12.0,40.0,7.0,4398.0
rime-ivr-eval-013,13.0,50.0,7.0,8552.0
rime-ivr-eval-014,13.0,37.0,7.0,4398.0
rime-ivr-eval-015,12.0,17.0,7.0,2247.0
rime-ivr-eval-016,12.0,22.0,7.0,3189.0
rime-ivr-eval-017,13.0,39.0,7.0,5885.0
rime-ivr-eval-018,13.0,37.0,7.0,4601.0
rime-ivr-eval-019,11.0,23.0,7.0,2952.0
rime-ivr-eval-020,12.0,34.0,7.0,4796.0
rime-ivr-eval-021,12.0,22.0,7.0,2604.0
rime-ivr-eval-022,12.0,28.0,7.0,3684.0
rime-ivr-eval-023,12.0,16.0,7.0,2112.0
rime-ivr-eval-024,,,7.0,
rime-ivr-eval-025,13.0,11.0,7.0,1064.0
rime-ivr-eval-026,13.0,31.0,7.0,3404.0
rime-ivr-eval-027,,,7.0,3296.0
rime-ivr-eval-028,13.0,52.0,7.0,7757.0
rime-ivr-eval-029,13.0,44.0,7.0,5450.0
rime-ivr-eval-030,12.0,35.0,7.0,
rime-ivr-eval-031,13.0,38.0,7.0,4656.0
rime-ivr-eval-032,12.0,18.0,7.0,2597.0
rime-ivr-eval-033,,,7.0,4482.0
rime-ivr-eval-034,13.0,28.0,7.0,3589.0
rime-ivr-eval-035,12.0,16.0,7.0,2197.0
rime-ivr-eval-036,13.0,26.0,7.0,3407.0
rime-ivr-eval-037,13.0,30.0,7.0,3655.0
rime-ivr-eval-038,12.0,11.0,7.0,1419.0
rime-ivr-eval-039,13.0,14.0,7.0,1670.0
rime-ivr-eval-040,12.0,19.0,7.0,2801.0
rime-ivr-eval-041,12.0,22.0,7.0,1810.0
rime-ivr-eval-042,12.0,29.0,7.0,3002.0
rime-ivr-eval-043,12.0,35.0,7.0,4046.0
rime-ivr-eval-044,12.0,14.0,7.0,1418.0
rime-ivr-eval-045,11.0,12.0,7.0,1166.0
rime-ivr-eval-046,11.0,18.0,7.0,2503.0
rime-ivr-eval-047,12.0,20.0,7.0,2368.0
rime-ivr-eval-048,12.0,18.0,7.0,2260.0
rime-ivr-eval-049,11.0,17.0,7.0,2604.0
rime-ivr-eval-050,11.0,29.0,7.0,4351.0
rime-ivr-eval-051,13.0,24.0,7.0,3292.0
rime-ivr-eval-052,12.0,9.0,7.0,623.0
rime-ivr-eval-053,13.0,21.0,7.0,2449.0
rime-ivr-eval-054,,,7.0,1555.0
rime-ivr-eval-055,12.0,15.0,7.0,1756.0
rime-ivr-eval-056,11.0,15.0,7.0,2609.0
rime-ivr-eval-057,14.0,16.0,7.0,
rime-ivr-eval-058,12.0,17.0,7.0,1579.0
rime-ivr-eval-059,11.0,14.0,7.0,2000.0
rime-ivr-eval-060,13.0,27.0,7.0,3712.0
rime-ivr-eval-061,13.0,39.0,7.0,4757.0
rime-ivr-eval-062,13.0,9.0,7.0,1063.0
rime-ivr-eval-063,11.0,16.0,7.0,1966.0
rime-ivr-eval-064,12.0,25.0,7.0,4005.0
rime-ivr-eval-065,11.0,12.0,7.0,1567.0
rime-ivr-eval-066,12.0,17.0,7.0,2006.0
rime-ivr-eval-067,13.0,27.0,7.0,3068.0
rime-ivr-eval-068,12.0,14.0,7.0,1513.0
rime-ivr-eval-069,12.0,33.0,7.0,4253.0
rime-ivr-eval-070,12.0,30.0,8.0,4629.0
rime-ivr-eval-071,14.0,14.0,7.0,1894.0
rime-ivr-eval-072,13.0,30.0,7.0,4257.0
rime-ivr-eval-073,13.0,20.0,7.0,
rime-ivr-eval-074,13.0,13.0,7.0,1940.0
rime-ivr-eval-075,15.0,30.0,7.0,4019.0
rime-ivr-eval-076,13.0,13.0,7.0,1765.0
rime-ivr-eval-077,13.0,31.0,7.0,4102.0
rime-ivr-eval-078,14.0,18.0,7.0,1970.0
rime-ivr-eval-079,13.0,68.0,7.0,
rime-ivr-eval-080,,,7.0,2017.0
rime-ivr-eval-081,13.0,23.0,7.0,
rime-ivr-eval-082,12.0,37.0,7.0,5189.0
rime-ivr-eval-083,12.0,26.0,7.0,3582.0
rime-ivr-eval-084,13.0,28.0,7.0,3460.0
rime-ivr-eval-085,13.0,42.0,7.0,5051.0
rime-ivr-eval-086,13.0,28.0,7.0,4400.0
rime-ivr-eval-087,13.0,26.0,7.0,3660.0
rime-ivr-eval-088,13.0,46.0,7.0,6040.0
rime-ivr-eval-089,13.0,30.0,7.0,4121.0
